Date,price_open,price_high,price_low,price_close,volume_traded
2022-08-01T00:00:00.0000000Z,0.52202,0.52381,0.50195,0.51161,248301.07847905
2022-08-02T00:00:00.0000000Z,0.50879,0.51078,0.49033,0.49649,48771.48199738
2022-08-03T00:00:00.0000000Z,0.49574,0.51648,0.4901,0.50115,678008.50981029
2022-08-04T00:00:00.0000000Z,0.5017,0.50999,0.49383,0.4994,239674.8138483
2022-08-05T00:00:00.0000000Z,0.49944,0.51725,0.49944,0.51519,461506.9272227
2022-08-06T00:00:00.0000000Z,0.51665,0.52239,0.51111,0.51111,47888.59431548
2022-08-07T00:00:00.0000000Z,0.51,0.535,0.51,0.52603,329030.82735382
2022-08-08T00:00:00.0000000Z,0.52654,0.54693,0.52654,0.53521,630801.75131857
2022-08-09T00:00:00.0000000Z,0.53528,0.53644,0.50817,0.5133,662360.60051953
2022-08-10T00:00:00.0000000Z,0.50819,0.53864,0.50373,0.53532,751080.18430354
2022-08-11T00:00:00.0000000Z,0.53975,0.54708,0.53222,0.53415,827512.30422703
2022-08-12T00:00:00.0000000Z,0.525,0.54209,0.521,0.54125,162053.42269706
2022-08-13T00:00:00.0000000Z,0.53896,0.56725,0.53896,0.56099,660141.60215334
2022-08-14T00:00:00.0000000Z,0.55837,0.59384,0.55837,0.57054,217573.0747111
2022-08-15T00:00:00.0000000Z,0.56843,0.57817,0.54535,0.5521,228270.25925506
2022-08-16T00:00:00.0000000Z,0.55367,0.57028,0.55,0.55733,348352.22371266
2022-08-17T00:00:00.0000000Z,0.5609,0.58209,0.53106,0.53264,949363.91235402
2022-08-18T00:00:00.0000000Z,0.53841,0.54186,0.50854,0.51329,135010.07369739
2022-08-19T00:00:00.0000000Z,0.50628,0.50628,0.45,0.45153,474471.55816674
2022-08-20T00:00:00.0000000Z,0.45343,0.46139,0.435,0.45012,278185.16783768
2022-08-21T00:00:00.0000000Z,0.45106,0.46946,0.44841,0.46546,313466.48245237
2022-08-22T00:00:00.0000000Z,0.45961,0.4612,0.43815,0.45573,214436.32029133
2022-08-23T00:00:00.0000000Z,0.45896,0.46894,0.44755,0.4648,502107.08585464
2022-08-24T00:00:00.0000000Z,0.4539,0.46589,0.45375,0.45818,328976.19915097
2022-08-25T00:00:00.0000000Z,0.4599,0.47079,0.4599,0.46542,324073.94519664
2022-08-26T00:00:00.0000000Z,0.46278,0.48109,0.42866,0.43186,658928.63703603
2022-08-27T00:00:00.0000000Z,0.43034,0.45084,0.43,0.45084,163938.22560681
2022-08-28T00:00:00.0000000Z,0.45032,0.45032,0.42912,0.42912,348097.39622425
2022-08-29T00:00:00.0000000Z,0.42811,0.44898,0.42668,0.44825,464836.50638344
2022-08-30T00:00:00.0000000Z,0.45051,0.4596,0.43984,0.4523,451757.31262927
2022-08-31T00:00:00.0000000Z,0.458,0.46299,0.44927,0.45536,334450.66242914
2022-09-01T00:00:00.0000000Z,0.44312,0.46165,0.44252,0.45665,601195.36914808
2022-09-02T00:00:00.0000000Z,0.45622,0.465,0.45003,0.45468,320045.96810263
2022-09-03T00:00:00.0000000Z,0.45366,0.48492,0.45366,0.47946,196505.17766021
2022-09-04T00:00:00.0000000Z,0.478,0.505,0.478,0.49961,456415.55858026
2022-09-05T00:00:00.0000000Z,0.50424,0.50452,0.48236,0.50013,132984.04633178
2022-09-06T00:00:00.0000000Z,0.49788,0.51108,0.46248,0.46248,662923.08095458
2022-09-07T00:00:00.0000000Z,0.4557,0.48138,0.45435,0.48137,184563.08653118
2022-09-08T00:00:00.0000000Z,0.47735,0.47919,0.46612,0.47772,60885.4089207
2022-09-09T00:00:00.0000000Z,0.48349,0.50451,0.48349,0.49608,450443.24574916
2022-09-10T00:00:00.0000000Z,0.51228,0.52375,0.50692,0.51558,215505.77996084
2022-09-11T00:00:00.0000000Z,0.51395,0.51953,0.50183,0.51118,52464.89364763
