Date,price_open,price_high,price_low,price_close,volume_traded
2022-08-01T00:00:00.0000000Z,0.92502,0.94349,0.87784,0.89727,133025.60638547
2022-08-02T00:00:00.0000000Z,0.89568,0.91459,0.85,0.87571,448305.98620437
2022-08-03T00:00:00.0000000Z,0.86869,0.92284,0.85853,0.88741,242939.1862297
2022-08-04T00:00:00.0000000Z,0.88685,0.9093,0.87711,0.88819,196191.82203802
2022-08-05T00:00:00.0000000Z,0.8929,0.93772,0.89001,0.92198,662688.72249896
2022-08-06T00:00:00.0000000Z,0.92227,0.94,0.90399,0.90399,76710.22920005
2022-08-07T00:00:00.0000000Z,0.90893,0.9239,0.89327,0.90625,468832.87344159
2022-08-08T00:00:00.0000000Z,0.90633,0.94892,0.90633,0.92059,257846.02821546
2022-08-09T00:00:00.0000000Z,0.92216,0.93024,0.87263,0.89053,175626.48844354
2022-08-10T00:00:00.0000000Z,0.88992,0.93972,0.87198,0.93494,166727.40070165
2022-08-11T00:00:00.0000000Z,0.93901,0.95423,0.91888,0.92009,813901.57025899
2022-08-12T00:00:00.0000000Z,0.92224,0.93219,0.90928,0.932,871944.67943125
2022-08-13T00:00:00.0000000Z,0.93381,1.0328,0.93019,1.02728,212485.07075439
2022-08-14T00:00:00.0000000Z,1.04,1.0508,0.99091,1.00161,113830.18667169
2022-08-15T00:00:00.0000000Z,1.0002,1.032,0.9332,0.95271,326819.67202416
2022-08-16T00:00:00.0000000Z,0.94804,0.96721,0.92506,0.93337,91468.23769904
2022-08-17T00:00:00.0000000Z,0.93399,0.95793,0.87645,0.88433,196577.35225336
2022-08-18T00:00:00.0000000Z,0.8888,0.90756,0.85745,0.86265,59405.00725973
2022-08-19T00:00:00.0000000Z,0.85655,0.85655,0.76746,0.76976,300608.95975554
2022-08-20T00:00:00.0000000Z,0.78133,0.81126,0.76,0.78367,181352.22689482
2022-08-21T00:00:00.0000000Z,0.79189,0.8295,0.78159,0.82226,312070.1964216
2022-08-22T00:00:00.0000000Z,0.82007,0.82139,0.77597,0.80943,72610.32029202
2022-08-23T00:00:00.0000000Z,0.81093,0.83443,0.79494,0.83226,330677.89068612
2022-08-24T00:00:00.0000000Z,0.83151,0.83935,0.80226,0.81192,623502.07172393
2022-08-25T00:00:00.0000000Z,0.81351,0.83514,0.80762,0.819,561458.55460875
2022-08-26T00:00:00.0000000Z,0.81846,0.83459,0.75883,0.76532,4197067.81247487
2022-08-27T00:00:00.0000000Z,0.76544,0.81361,0.75726,0.80452,3201764.73410927
2022-08-28T00:00:00.0000000Z,0.80453,0.83107,0.7816,0.7816,1161435.70032698
2022-08-29T00:00:00.0000000Z,0.78647,0.82083,0.76243,0.81698,1741309.64779006
2022-08-30T00:00:00.0000000Z,0.81698,0.84,0.7862,0.81577,1585388.44868091
2022-08-31T00:00:00.0000000Z,0.82329,0.85073,0.81905,0.83349,1322978.13872044
2022-09-01T00:00:00.0000000Z,0.83236,0.89597,0.82504,0.88504,1408361.90563878
2022-09-02T00:00:00.0000000Z,0.88406,0.90338,0.86386,0.87222,1070152.7834485
2022-09-03T00:00:00.0000000Z,0.87159,0.89064,0.86914,0.88944,113350.78854045
2022-09-04T00:00:00.0000000Z,0.89123,0.89804,0.87459,0.89421,107570.07851454
2022-09-05T00:00:00.0000000Z,0.90058,0.90058,0.86447,0.88248,77772.7057857
2022-09-06T00:00:00.0000000Z,0.88254,0.9231,0.82,0.82057,755050.60340617
2022-09-07T00:00:00.0000000Z,0.81548,0.85067,0.79723,0.84066,375303.29145474
2022-09-08T00:00:00.0000000Z,0.84142,0.848,0.81655,0.84351,602906.70648225
2022-09-09T00:00:00.0000000Z,0.84514,0.9,0.84362,0.89206,301693.5760367
2022-09-10T00:00:00.0000000Z,0.89205,0.91071,0.87919,0.90679,264636.23121766
2022-09-11T00:00:00.0000000Z,0.90626,0.91799,0.87757,0.89398,393336.88387409
2022-09-12T00:00:00.0000000Z,0.89175,0.94023,0.87344,0.93071,544398.38719333
2022-09-13T00:01:00.0000000Z,0.93268,0.93268,0.93266,0.93266,645.25102928
2022-09-13T00:04:00.0000000Z,0.92969,0.92969,0.92969,0.92969,62.28365368
